column_name,feature_group,source_product,source_column,current_status,allowed_ml_use,prohibited_use,upgrade_needed,notes
depth_basis_ft,depth_context,well_context;stability_screen,depth_basis_ft,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
depth_available,depth_context,well_context;stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
permafrost_base_m,permafrost_context,GGD223 nearest control via stability_screen,permafrost_base_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
permafrost_control_code,permafrost_context,GGD223 nearest control via stability_screen,permafrost_control_code,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
permafrost_control_distance_km,permafrost_context,GGD223 nearest control via stability_screen,permafrost_control_distance_km,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
permafrost_confidence,permafrost_context,GGD223 nearest control via stability_screen,permafrost_confidence,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
well_depth_exceeds_nearest_permafrost_control,permafrost_context,GGD223 nearest control via stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
well_depth_minus_permafrost_control_m,permafrost_context,GGD223 nearest control via stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_profile_matched,temperature_context,G10015 inventory/scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_profile_code,temperature_context,G10015 inventory/scaffold,temperature_profile_code,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_profile_file,temperature_context,G10015 inventory/scaffold,temperature_profile_file,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_profile_count_for_code,temperature_context,G10015 inventory/scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_profile_max_depth_m,temperature_context,G10015 inventory/scaffold,temperature_profile_max_depth_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_gradient_c_per_100m,temperature_context,G10015 inventory/scaffold,temperature_gradient_c_per_100m,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_gradient_source,temperature_context,G10015 inventory/scaffold,temperature_gradient_source,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_profile_link_method,temperature_context,G10015 inventory/scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_permafrost_control_c,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_permafrost_control_method,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_permafrost_control_status,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_permafrost_control_extrapolated,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_permafrost_control_extrapolation_m,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_depth_basis_c,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_depth_basis_method,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_depth_basis_status,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_depth_basis_extrapolated,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
temperature_at_depth_basis_extrapolation_m,temperature_model,stability_temperature_model,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
pressure_model_id,pressure_phase_context,stability_screen,pressure_model_id,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
pressure_at_tvd_mpa_absolute,pressure_phase_context,stability_screen,pressure_at_tvd_mpa_absolute,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
pressure_at_permafrost_control_mpa_absolute,pressure_phase_context,stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
phase_curve_id,pressure_phase_context,stability_screen,phase_curve_id,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
phase_curve_role,pressure_phase_context,stability_screen,phase_curve_role,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
phase_curve_allowed_use,pressure_phase_context,stability_screen,phase_curve_allowed_use,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
gas_composition_assumption,pressure_phase_context,stability_screen,gas_composition_assumption,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
gas_methane_mol_pct,pressure_phase_context,stability_screen,gas_methane_mol_pct,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
salinity_ppt_assumption,pressure_phase_context,stability_screen,salinity_ppt_assumption,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
stability_input_readiness,stability_screen,stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
stability_result_status,stability_screen,stability_screen,stability_result_status,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
stability_confidence,stability_screen,stability_screen,stability_confidence,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
stability_interval_calculated,stability_screen,stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
no_stable_interval_under_baseline,stability_screen,stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
stability_top_m,stability_screen,stability_screen,stability_top_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
stability_base_m,stability_screen,stability_screen,stability_base_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
stability_thickness_m,stability_screen,stability_screen,stability_thickness_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
well_penetrated_stability_thickness_m,stability_screen,stability_screen,well_penetrated_stability_thickness_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
reaches_stability_zone,stability_screen,stability_screen,reaches_stability_zone,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
caveat_codes,stability_screen,stability_screen,caveat_codes,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
blank_or_block_reason,stability_screen,stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Use approved runtime data or improved public controls to strengthen this field.,"Stability fields are thermodynamic-admissibility features only, not proof."
public_ml_feature_readiness,ml_readiness,derived_public_ml_feature_scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
ml_training_readiness,ml_readiness,derived_public_ml_feature_scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
hydrate_occurrence_label_status,label_policy,project_guardrail,derived,guardrail_not_feature,policy/audit only,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Approved hydrate occurrence/saturation labels and log-depth aligned inputs.,Public-source feature scaffold field.
hydrate_saturation_label_status,label_policy,project_guardrail,derived,guardrail_not_feature,policy/audit only,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Approved hydrate occurrence/saturation labels and log-depth aligned inputs.,Public-source feature scaffold field.
allowed_ml_use,label_policy,project_guardrail,derived,guardrail_not_feature,policy/audit only,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Approved hydrate occurrence/saturation labels and log-depth aligned inputs.,Public-source feature scaffold field.
prohibited_ml_use,label_policy,project_guardrail,derived,guardrail_not_feature,policy/audit only,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Approved hydrate occurrence/saturation labels and log-depth aligned inputs.,Public-source feature scaffold field.
label_guardrail,label_policy,project_guardrail,derived,guardrail_not_feature,policy/audit only,"Do not use as a hydrate occurrence, absence, saturation, or producibility label.",Approved hydrate occurrence/saturation labels and log-depth aligned inputs.,Public-source feature scaffold field.
