source_reference,sheet_or_dataset_name,original_header,canonical_alias,role,feature_family,unit_status,required_for_model,available_in_current_subset,expected_in_future_71_dataset_collection,leakage_risk,allowed_use,prohibited_use,unresolved_question,notes
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,differential caliper,differential_caliper,qc_field,borehole_qc,mm_shown_sign_convention_unresolved,recommended_qc,yes_header_visible,yes_expected,low,Use as QC flag or exclusion/downweighting signal,Do not use as hydrate evidence,What reference diameter and sign convention define differential caliper?,May be derived from caliper and bit size.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Rt,deep_resistivity,measured_input,resistivity,ohm_m_expected,recommended,yes_header_visible,yes_expected,low,Log-transform and use with lithology porosity elastic and QC context,Do not use high resistivity alone as a hydrate label,Which resistivity channel is authoritative?,Resistivity is non-unique and needs mimic controls.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,RES,deep_resistivity,measured_input,resistivity,ohm_m_expected,recommended,yes_header_visible,yes_expected,low,Use as resistivity only after tool mnemonic is confirmed,Do not assume it is deep resistivity if multiple resistivity curves exist,Does RES correspond to selected deep formation resistivity?,Preserve source mnemonic.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,AO90,deep_resistivity,unresolved,resistivity_tool_channel,ohm_m_expected_but_tool_unconfirmed,recommended_after_resolution,yes_header_visible,yes_expected,medium,Map to deep resistivity only after tool confirmation,Do not use as an input predictor until mnemonic role is resolved,Is the original header AO90 A090 or AF90?,Requirements map flags A090/AF90 style mnemonics for confirmation.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,GR,gamma_ray,measured_input,lithology_api,api_expected,required_or_recommended,yes_header_visible,yes_expected,low,Use as lithology clean-sand or shale-volume proxy feature,Do not treat low GR as hydrate proof,What shale-volume equation and clean-sand baseline should be approved?,GR is a reservoir-quality gate and feature.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Vs,shear_velocity,measured_input,sonic_elastic,m_s_or_km_s_unresolved,recommended,yes_header_visible,yes_expected,low,Use as measured shear velocity after unit normalization,Do not derive elastic moduli if units are unresolved,Is Vs supplied velocity or derived from DTS?,Critical for rigidity and gas/hydrate mimic separation.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,VS1,shear_velocity,measured_input,sonic_elastic,m_s_or_km_s_unresolved,recommended,yes_header_visible,yes_expected,low,Use as shear velocity alias after source review,Do not merge with Vs if processing stages differ,Does VS1 mean original measured curve or refined channel?,Preserve original mnemonic.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Vp,compressional_velocity,measured_input,sonic_elastic,m_s_or_km_s_unresolved,recommended,yes_header_visible,yes_expected,low,Use as measured compressional velocity after unit normalization,Do not confuse with sonic slowness DT,Is Vp supplied directly or calculated from DT?,Input for impedance and elastic attributes.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,VELP,compressional_velocity,measured_input,sonic_elastic,m_s_or_km_s_unresolved,recommended,yes_header_visible,yes_expected,low,Use as compressional velocity alias after source review,Do not combine with Vp unless units and derivation match,Does VELP indicate velocity processing stage?,Original mnemonic must remain available.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/SCIENCE_TO_ML_LOGIC_LADDER.md,Main ML header block,Ratio Vp/Vs,vp_vs_ratio,derived_feature,sonic_elastic_ratio,dimensionless,recommended_when_vp_vs_available,yes_header_visible,yes_expected,medium,Use as derived crossplot/model feature with source velocities retained,Do not calculate from target-bearing fields or unresolved units,Should stored ratio be trusted or recalculated from canonical Vp and Vs?,Derived feature inherits sonic QC and units.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/SCIENCE_TO_ML_LOGIC_LADDER.md,Main ML header block,impedance,acoustic_impedance,derived_feature,elastic_impedance,unit_expression_unresolved,recommended_when_rhob_vp_available,yes_header_visible,yes_expected,medium,Use as rho_b times Vp after density and velocity units are normalized,Do not use if source density or velocity fail QC,What unit convention should be exported?,Acoustic impedance is a physics feature not hydrate proof.
docs/SCIENCE_TO_ML_LOGIC_LADDER.md; docs/ML_PIPELINE_BASELINE_SOURCE_LEDGER.md,Derived feature design,shale volume,shale_volume_proxy,derived_feature,lithology_proxy,equation_pending,optional_or_recommended,not_as_original_header,yes_expected,medium,Use as GR-derived reservoir-quality feature after formula approval,Do not turn into a hydrate label,Which GR baseline and shale endpoint should be used?,Included as planned feature family outside stability.
docs/SCIENCE_TO_ML_LOGIC_LADDER.md; docs/ML_PIPELINE_BASELINE_SOURCE_LEDGER.md,Derived feature design,density porosity,density_porosity_calc,derived_feature,porosity,equation_pending,optional_or_recommended,not_as_original_header,yes_expected,medium,Calculate only with approved matrix and fluid density assumptions,Do not replace supplied porosity without provenance,Which density-porosity equation and constants are approved?,Feature may duplicate Phi_porosity/DPHI if those are supplied.
docs/SCIENCE_TO_ML_LOGIC_LADDER.md; docs/ML_PIPELINE_BASELINE_SOURCE_LEDGER.md,Derived feature design,resistivity transform,log_rt,derived_feature,resistivity_transform,dimensionless_transform,recommended_when_rt_available,not_as_original_header,yes_expected,low,Use as train-only transformed resistivity feature,Do not use target distribution to choose transforms,What floor/clipping policy handles zero or bad resistivity?,Feature engineering only.
docs/SCIENCE_TO_ML_LOGIC_LADDER.md; docs/ML_PIPELINE_BASELINE_SOURCE_LEDGER.md,Derived feature design,elastic attributes,elastic_moduli,derived_feature,elastic_attributes,unit_aware_required,optional_when_vp_vs_rhob_available,not_as_original_header,yes_expected,medium,Use G K E nu lambda-rho and mu-rho only after unit checks,Do not calculate when Vp Vs or RHOB are missing or untrusted,Which elastic attributes should be in the first approved baseline?,Derived from measured sonic and density inputs.
docs/WELL_LOG_REQUIREMENTS_MAP.md,MTE_refined/IGS_refined,Depth correspondence at ML data,aligned_depth,qc_field,depth_alignment,unit_and_matching_method_unresolved,required_for_training_rows,yes_header_visible,yes_expected,medium,Use for traceable source-to-ML depth matching and offset flags,Do not create false precision or leak labels across intervals,What interpolation or nearest-depth rule created the correspondence?,Alignment metadata controls core/log/target matching.
docs/WELL_LOG_REQUIREMENTS_MAP.md,MTE_refined/IGS_refined,depths_unitD,source_depth_unit_d,qc_field,depth_alignment,feet_shown_in_refined_sheets,optional_alignment_metadata,yes_header_visible,yes_expected,low,Use as source depth vector metadata,Do not merge as model predictor by default,Are Unit D and Unit C separate wells intervals or processing stages?,Preserve source depth vectors for audit.
docs/WELL_LOG_REQUIREMENTS_MAP.md,MTE_refined/IGS_refined,depths_unitC,source_depth_unit_c,qc_field,depth_alignment,feet_shown_in_refined_sheets,optional_alignment_metadata,yes_header_visible,yes_expected,low,Use as source depth vector metadata,Do not merge as model predictor by default,Are Unit C and Unit D geological units or worksheet labels?,Preserve source depth vectors for audit.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Ground truth header block,Sgh,hydrate_saturation,target_only,saturation_target,fraction_or_percent_unresolved,target_required_for_regression,yes_header_visible,yes_expected,high,Use only as saturation regression target calibration or validation label,Do not use in feature matrix normalization ranking or derived predictors,Is Sgh authoritative when multiple saturation fields exist?,Ground truth family already locked as target-only.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,MTE,S_h,hydrate_saturation,target_only,saturation_target,fraction_or_percent_unresolved,target_required_for_regression,yes_header_visible,yes_expected,high,Use only as target or calibration reference after role confirmation,Do not use as an input predictor or derived feature source,Is S_h equivalent to Sgh or a processing-stage result?,Target-only under current guardrail.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,IGS,Sh,hydrate_saturation,target_only,saturation_target,fraction_or_percent_unresolved,target_required_for_regression,yes_header_visible,yes_expected,high,Use only as target or validation overlay after source review,Do not use as predictor or feature-selection input,Is Sh equivalent to S_h/Sgh across sheets?,Preserve original spelling.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Ground truth header block,NMR_SAT,nmr_saturation_target,target_only,saturation_target,fraction_or_percent_unresolved,target_or_calibration,yes_header_visible,yes_expected,high,Use only as target calibration or validation target,Do not confuse with NMRPHI measured input,Is NMR_SAT the authoritative saturation target in known wells?,Header screenshots mark Sgh/NMR_SAT as GROUND TRUTH.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Ground truth/refined sheets,Hydrate Saturation,hydrate_saturation,target_only,saturation_target,fraction_or_percent_unresolved,target_or_reporting_output,yes_header_visible,yes_expected,high,Use only as target/output label after equivalence review,Do not use as feature or helper predictor,How does this plain-language field relate to Sgh/S_h/Sh?,Public matrix records header only not values.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,IGS,Swr,irreducible_water_saturation,calibration_reference,saturation_reference,fraction_or_percent_unresolved,calibration_reference_pending_formula,yes_header_visible,yes_expected,high,Use only as calibration/reference until formula proves nonleakage role,Do not use as predictor while source role is unresolved,Is Swr measured assumed interpreted or calculated?,Treat as saturation family target/reference by default.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,MTE,S_wr,irreducible_water_saturation,calibration_reference,saturation_reference,fraction_or_percent_unresolved,calibration_reference_pending_formula,yes_header_visible,yes_expected,high,Use only as calibration/reference until formula proves nonleakage role,Do not use as predictor while source role is unresolved,Is S_wr equivalent to Swr and how is it derived?,Saturation-related field excluded until formula review.
docs/SCIENCE_TO_ML_LOGIC_LADDER.md; docs/ML_PIPELINE_BASELINE_SOURCE_LEDGER.md,Known-well labels,interpreted phase labels,phase_class,target_only,occurrence_target,categorical_policy_unresolved,target_required_for_classification_when_approved,not_public_rows,yes_expected,high,Use as occurrence/phase target after label policy approval,Do not use manual interpretations final ranks or phase labels as predictors,Should occurrence labels come from saturation thresholds phase labels or mentor-reviewed intervals?,No phase-label rows are committed publicly.
docs/FULL_PROJECT_ML_WORKFLOW_DIAGRAM.md; data/public_stability_products/README.md,Public context products,public stability context,stability_context_features,context_feature,pressure_temperature_context,public_source_units_documented,optional_context_only,yes_public_scaffold_available,yes_expected,medium,Use as optional context mask confidence flag or reason flag,Do not use stability status as hydrate occurrence or saturation label,How heavily should mentor want stability in the final ML workflow?,Outside-stability schema and model plan treats this as optional context only.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Workbook organization,MTE/IGS/refined sheet identity,sheet_source_role,unresolved,source_metadata,not_applicable,required_metadata,yes_header_visible,yes_expected,medium,Use only as provenance until workbook organization is confirmed,Do not treat sheet name as a well label processing stage or model class without confirmation,Are MTE IGS refined sheets separate wells processing stages or source datasets?,This unresolved source role is a mentor question.
