original_header,normalized_name,source_dataset,role,unit,expected_dtype,required_for_model,public_safe_to_show,caveats
shale volume,shale_volume_proxy,Derived feature design,derived_feature,dimensionless,float,optional_valuable,yes_metadata_only,Feature producer only; equation constants require source or mentor approval.
density porosity,density_porosity_calc,Derived feature design,derived_feature,fraction_or_percent,float,optional_valuable,yes_metadata_only,Feature producer only; matrix/fluid density assumptions must be visible.
resistivity transform,log_rt,Derived feature design,derived_feature,dimensionless,float,optional_valuable,yes_metadata_only,Baseline/check feature; not a direct hydrate label.
elastic attributes,elastic_moduli,Derived feature design,derived_feature,unit_aware,float,optional_valuable,yes_metadata_only,Only compute when Vp/Vs/RHOB units are valid.
Depth correspondence at ML data,aligned_depth,MTE_refined/IGS_refined,QC,ft_or_m,float,required_for_depth_alignment,yes_header_only,Record matching/interpolation method and depth offset.
depths_unitD,source_depth_unit_d,MTE_refined/IGS_refined,QC,ft,float,required_for_depth_alignment,yes_header_only,Preserve unit identifier and source sampling.
depths_unitC,source_depth_unit_c,MTE_refined/IGS_refined,QC,ft,float,required_for_depth_alignment,yes_header_only,Preserve unit identifier and source sampling.
Sgh,hydrate_saturation,Ground truth header block,target_only,fraction_or_percent,float,target_required_after_authority_decision,yes_header_only_no_values,Ground-truth or calibration target only; never enter X_allowed.
S_h,hydrate_saturation,MTE,target_only,fraction_or_percent,float,target_required_after_authority_decision,yes_header_only_no_values,MTE target or calibration field only; never enter X_allowed.
Sh,hydrate_saturation,IGS,target_only,fraction_or_percent,float,target_required_after_authority_decision,yes_header_only_no_values,IGS target or calibration field only; never enter X_allowed.
NMR_SAT,nmr_saturation_target,Ground truth header block,target_only,fraction_or_percent,float,target_required_after_authority_decision,yes_header_only_no_values,Target or independent calibration field; keep separate from NMRPHI.
Hydrate Saturation,hydrate_saturation,Ground truth/refined sheets,target_only,fraction_or_percent,float,target_required_after_authority_decision,yes_header_only_no_values,Reporting or target field only until authority is confirmed.
Swr,irreducible_water_saturation,IGS,calibration_reference,fraction_or_percent,float,calibration_optional,yes_header_only_no_values,Water-saturation constraint or calibration reference; fail closed if leakage is possible.
S_wr,irreducible_water_saturation,MTE,calibration_reference,fraction_or_percent,float,calibration_optional,yes_header_only_no_values,Water-saturation constraint or calibration reference; fail closed if leakage is possible.
interpreted phase label,phase_class,Known-well labels,target_only,categorical,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Occurrence target or validation evidence only; stability cannot create it.
core hydrate observation,hydrate_occurrence_core,Core or pressure-core labels,target_only,categorical_or_boolean,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Direct occurrence evidence only after interval alignment and mentor source authority.
pressure-core hydrate observation,hydrate_occurrence_pressure_core,Core or pressure-core labels,target_only,categorical_or_boolean,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Direct occurrence evidence only after interval alignment and mentor source authority.
validated log occurrence interpretation,hydrate_occurrence_log_interpretation,Known-well interpretation labels,target_only,categorical_or_boolean,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Occurrence label only when interpretation method and QC are approved.
regional seismic hydrate indicator,hydrate_occurrence_seismic_indicator,Regional seismic interpretation,target_only,categorical_or_boolean,category,validation_or_context_after_authority_decision,yes_header_only_no_values,Occurrence evidence or validation context only when spatial and depth support are documented.
public stability context,stability_context_features,Public context products,context,public_product_units,mixed,optional_context_after_mentor_approval,yes_public_summary_only,Admissibility context or mask only; not proof or occurrence or saturation or sweet spot.
MTE/IGS/refined sheet identity,sheet_source_role,Workbook organization,unresolved,not_applicable,string,required_for_provenance,yes_metadata_only,Resolve whether sheets are wells or processing stages or source datasets.
Well-MTE,well_mte,Case-study well metadata,context,not_applicable,string,mentor_question_metadata,yes_metadata_only,Mt. Elbert Stratigraphic Test Well; North Slope Eileen Gas Hydrate Trend case-study well; metadata only until runtime mapping.
Well-IGS,well_igs,Case-study well metadata,context,not_applicable,string,mentor_question_metadata,yes_metadata_only,Ignik Sikumi Test Well; North Slope Eileen Gas Hydrate Trend case-study well; metadata only until runtime mapping.
MTE_refined,mte_refined_stage,Workbook organization,unresolved,not_applicable,string,required_for_provenance,yes_metadata_only,Blue mentor question; confirm whether this is a raw/refined processing stage or separate workbook source.
IGS_refined,igs_refined_stage,Workbook organization,unresolved,not_applicable,string,required_for_provenance,yes_metadata_only,Blue mentor question; confirm whether this is a raw/refined processing stage or separate workbook source.
occurrence label,hydrate_occurrence_label,Known-well labels,target_only,categorical,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Occurrence target or validation label only; requires source evidence confidence and interval policy.
occurrence class,hydrate_occurrence_class,Known-well labels,target_only,categorical,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Occurrence target or validation class only; never enter X_allowed.
pore hydrate,hydrate_occurrence_pore_class,Known-well labels,target_only,categorical,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Occurrence class supported by external ML literature; mentor authority required before use.
fracture hydrate,hydrate_occurrence_fracture_class,Known-well labels,target_only,categorical,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Occurrence class supported by external ML literature; mentor authority required before use.
no hydrate,hydrate_absence_class,Known-well labels,target_only,categorical,category,target_required_for_occurrence_if_used,yes_header_only_no_values,Absence class only after source authority; stability blocked rows are not no-hydrate labels.
missing-log adapter flag,missing_log_adapter_flag,Model metadata,QC,boolean,bool,optional_decision_after_mentor_approval,yes_metadata_only,Records whether a missing-log adapter was considered or used; adapter use requires validation.
Vp missing-log adapter,vp_missing_log_adapter,Model metadata,unresolved,not_applicable,string,blocked_until_mentor_approval,yes_metadata_only,Optional validation-required adapter for missing Vp; comparative marine hydrate evidence does not automatically validate North Slope use.
RHOB missing-log adapter,rhob_missing_log_adapter,Model metadata,unresolved,not_applicable,string,blocked_until_mentor_approval,yes_metadata_only,Optional validation-required adapter for missing RHOB; comparative marine hydrate evidence does not automatically validate North Slope use.
numeric train-only scaling,numeric_train_only_scaling,Normalization policy metadata,QC,not_applicable,string,required_for_preprocessing_policy,yes_metadata_only,Numeric predictors use train-only 0-1 scaling after split; never fit scalers on validation or blind wells.
depth alignment axis,depth_alignment_axis,Normalization policy metadata,context,not_applicable,string,required_for_preprocessing_policy,yes_metadata_only,Depth remains the well/depth alignment and context axis; not automatically a normalized predictor.
unit visible flag,unit_visible_flag,Normalization policy metadata,QC,boolean,bool,required_for_schema_display,yes_metadata_only,Units must stay visible beside original headers and normalized names.
